  NC rank    NC index    NC phen. index  NC phen. seq.    modularity: Louvain    modularity: spinglass
      170         294                23  (((...)))...     0.521892213996         0.585831000687
      171         121                 8  ...(((...)))     0.511555560267         0.611220858036
      172          33                 4  ..(((...))).     0.598354880103         0.664947868916
      173          30                 4  ..(((...))).     0.598635126744         0.639460156122
      174         358                33  ((.....))...     0.57526753125          0.628960863361
      175         289                23  (((...)))...     0.506129140539         0.623777869152
      176         151                12  ..((.....)).     0.665988714862         0.695929811831
      177         182                14  .(((...)))..     0.61091832503          0.663642113177
      178          29                 4  ..(((...))).     0.605176458042         0.632574016179
      179         137                10  ..((....))..     0.652148904318         0.69850628766
      180         161                13  .(((.....)))     0.605148162116         0.668305619103
      181         248                20  (((......)))     0.60420659228          0.66662709499
      182          36                 4  ..(((...))).     0.59997765277          0.661636778674
      183         127                 8  ...(((...)))     0.533990541584         0.622369448397
      184          25                 4  ..(((...))).     0.58676604057          0.625843983451
      185         388                40  ((........))     0.519294138572         0.625987812182
      186          24                 4  ..(((...))).     0.600687928108         0.645562090643
      187          31                 4  ..(((...))).     0.580468501179         0.643832640229
      188          62                 5  .((((...))))     0.800731976756         0.792644518619
      189         168                14  .(((...)))..     0.600631780823         0.671238159015
      190         179                14  .(((...)))..     0.594418089845         0.663853836623
      191         173                14  .(((...)))..     0.622677609932         0.675138680545
      192         213                16  .((....))...     0.646085146219         0.679883772115
      193         176                14  .(((...)))..     0.624410103757         0.670273147184
      194         163                13  .(((.....)))     0.62756515683          0.651223131984
      195          67                 5  .((((...))))     0.779496550988         0.783720890812
      196          28                 4  ..(((...))).     0.636634569288         0.672306496254
      197          56                 5  .((((...))))     0.775035293479         0.775861743932
      198         198                15  ((((...)))).     0.747696508686         0.750731632653
      199         259                21  .((.....))..     0.671789034006         0.705272248822
      200         158                13  .(((.....)))     0.627985248932         0.68253881997
      201          19                 3  ..(((....)))     0.542427180874         0.618664295324
      202         169                14  .(((...)))..     0.621439818884         0.674913150543
      203         174                14  .(((...)))..     0.683555948233         0.675949614929
      204         184                14  .(((...)))..     0.642336961581         0.657784882143
      205         181                14  .(((...)))..     0.626236568572         0.647236502835
